id;rubric_id;Наименование;Цена;ИмяФайлаИзображения;Ед. изм.;Ду;Масса, кг;Мощность, Вт;Примечание;Описание;Напряжение, В;Изготовитель;Конструкционные особенности;Напряжение В, 50 Гц;Номинальный ток, Ih (A);Габаритные размеры, мм;Применение;Область применения;Артикул произв.;Длина, м;Диаметр наружный, мм;Комплект поставки;Размер;Высота, мм;Обьём, л;Производитель;L, мм;Страна изготовитель;Длина, мм;Ширина, мм;B, мм;Присоединение;Ру, МПа;Кол-во секций;Тип;Толщ. стенки, мм;D трубы наружный, мм;DN, мм;d наружный ;d внутренний;Масса 1 м.п., кг;Резьба;Габаритные размеры;Мощность, кВт;Частота вращения, об/мин;Класс защиты;**;Пропускная способность л/с;Цвет;Материал;Толщина стенки S, мм;Регламентирующий документ;номинальная нагрузка;Полное открытие;Давление, bar;Температура, С ;Номинальный расход, м3/час Qn;Длина ножки;Длина шкалы, мм;Q nom, м3/час;H nom, м;Dу фланца;Номинальны напор, м;Напор, м;Подача, м3/ч;Монтажная длина/высота, мм;Патрубок вход/выход, DN;Насос;Напорный патрубок, Ду;Материал корпуса;Глубина, мм;Тип затвора;Объем, мл;Управление;КПД;Кол-во контуров;Высота Н закрыто, мм;Высота Н1 открыто, мм;Вес, кг;Kvs, м3/ч;Полная высота клапана с приводом, мм;Тип привода;Kvy, м3/час;Калибровка (bar);Материал уплотнения;Резьба, дюймы;Время поворота, с;Максимальное растяжение, Lе;Межосевое расстояние;Межцентровое расстояние;Номинальный тепловой поток 1 секции, кВт;H, мм;Ду (стальная труба), мм;D наружный ;D2 наружный, мм;Толщина стенки s, мм;R,мм;Толщина, мм;Для труб стальных Ду;Обозначение по ГОСТ;Ширина полки, мм;Размер ячейки;Крепеж;Резьба, мм;Длина излива,мм
108627;8322;Труба ПП для внутренней канализации;0,78;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;32х150;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104404;8322;Труба ПП для внутренней канализации;0,90;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;32х250;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104405;8322;Труба ПП для внутренней канализации;1,14;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;32х500;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104400;8322;Труба ПП для внутренней канализации;1,62;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;32х1000;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104402;8322;Труба ПП для внутренней канализации;2,40;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;32х1500;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104403;8322;Труба ПП для внутренней канализации;2,88;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;32х2000;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104410;8322;Труба ПП для внутренней канализации;1,08;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;40х250;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104411;8322;Труба ПП для внутренней канализации;1,32;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;40х500;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104412;8322;Труба ПП для внутренней канализации;1,80;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;40х750;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104406;8322;Труба ПП для внутренней канализации;1,92;Truby_PP_vnytr_kanaliz_OSTENDORFrys.jpg;шт;;;;;;;Ostendorf;;;;40х1000;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
